ds,yhat,yhat_lower,yhat_upper
03-01-2014,1548.287992,-2647.4079,5892.336166
04-01-2014,1053.068559,-2996.744674,5119.662602
05-01-2014,1144.803641,-2990.450984,5222.682782
06-01-2014,1270.094552,-2820.549094,5347.983335
07-01-2014,612.5913819,-3567.73865,4851.145568
09-01-2014,822.7233587,-3513.515756,4800.256706
10-01-2014,1043.492193,-3106.696264,5382.44716
11-01-2014,613.4539234,-3485.663815,4701.732043
13-01-2014,973.1502835,-3041.531039,4818.782736
14-01-2014,390.2112116,-3387.365657,4654.273454
15-01-2014,-467.7230852,-4461.30853,3428.249534
16-01-2014,748.1845059,-3732.43884,4818.777183
18-01-2014,674.71205,-3519.893717,4670.414508
19-01-2014,895.9315483,-3233.614753,5026.335246
20-01-2014,1146.681811,-3266.152556,5441.47516
21-01-2014,607.9991883,-3500.834642,4740.242793
23-01-2014,1026.142616,-3343.908659,5415.279931
26-01-2014,1186.15789,-2998.795142,5563.71952
27-01-2014,1420.011086,-3083.042855,5598.764246
28-01-2014,854.5897165,-3298.109161,4973.544647
30-01-2014,1192.970282,-2867.305143,5841.810526
31-01-2014,1447.749687,-2839.194809,5594.996971
01-02-2014,1030.987022,-3188.543098,5251.503956
02-02-2014,1185.133957,-3008.277643,5464.867244
03-02-2014,1355.976554,-2895.824656,5535.74465
04-02-2014,726.7447921,-3302.124716,4895.599667
06-02-2014,941.9402251,-3281.818376,5039.540384
07-02-2014,1140.703081,-3446.990526,5266.158023
08-02-2014,673.7605892,-3150.967372,4954.765787
11-02-2014,267.5950931,-4165.906087,4588.027525
12-02-2014,-668.1759267,-4874.22293,3166.591317
14-02-2014,672.9491444,-3540.616877,4787.021709
15-02-2014,226.2075789,-4145.42928,4246.061492
16-02-2014,369.1526654,-3804.232534,4303.544718
17-02-2014,548.4296769,-3671.27541,4633.5138
18-02-2014,-52.32150314,-4323.12461,4178.741692
20-02-2014,279.306268,-3822.368954,4240.638676
21-02-2014,564.5413675,-3699.774805,4630.317956
22-02-2014,201.1884156,-3866.738282,4354.058322
23-02-2014,431.3420475,-4116.498555,4589.25914
24-02-2014,699.9097811,-3749.35131,5249.340512
27-02-2014,693.1934835,-3606.540491,4641.763678
01-03-2014,767.96205,-3379.776774,4962.991282
02-03-2014,1063.162402,-2999.298714,4873.611798
03-03-2014,1387.396581,-2585.336979,5718.860075
04-03-2014,921.4196015,-3342.14906,5189.111714
05-03-2014,170.1974706,-3724.72548,4144.551113
07-03-2014,1856.160687,-2345.134959,5837.626423
10-03-2014,2140.220677,-2042.376939,6253.4505
11-03-2014,1635.920689,-2713.941065,5870.139713
14-03-2014,2397.903131,-1798.51993,6617.951452
15-03-2014,2032.067224,-1668.435137,6180.386491
16-03-2014,2234.189968,-1934.470584,6476.701574
17-03-2014,2449.86457,-1879.117345,6438.834706
18-03-2014,1862.10495,-2381.35313,6222.624813
19-03-2014,978.3609484,-2914.940195,5395.918513
21-03-2014,2377.765526,-1733.726966,6556.061945
22-03-2014,1936.166211,-2309.514368,5916.734258
23-03-2014,2067.922076,-2133.689196,6336.757476
24-03-2014,2219.739472,-1913.342662,6526.93383
25-03-2014,1575.565964,-2427.255513,5644.942955
26-03-2014,643.5890773,-3656.621441,4713.34225
28-03-2014,1972.979137,-2236.54007,6087.484221
29-03-2014,1510.018277,-2502.994955,5577.880153
30-03-2014,1629.437643,-2558.053969,6028.052504
31-03-2014,1777.637265,-2662.585005,6155.085035
01-04-2014,1138.072776,-3211.116612,5154.909516
02-04-2014,218.2726468,-3702.102404,4582.96567
